# iteration, cost_sgd
0.000000000000000000e+00,6.936676278997724321e-01
0.000000000000000000e+00,6.837739948073295881e-01
0.000000000000000000e+00,6.753650199850957936e-01
0.000000000000000000e+00,6.672735513160688026e-01
0.000000000000000000e+00,6.705010898126162466e-01
0.000000000000000000e+00,6.632845341384228099e-01
0.000000000000000000e+00,6.460613821493493836e-01
0.000000000000000000e+00,6.538161750591310328e-01
0.000000000000000000e+00,6.464188077295153212e-01
0.000000000000000000e+00,6.465383375748020578e-01
0.000000000000000000e+00,6.348836873838464845e-01
0.000000000000000000e+00,6.480093133405632200e-01
0.000000000000000000e+00,6.334510361893536112e-01
0.000000000000000000e+00,6.262239655245923631e-01
0.000000000000000000e+00,6.266645660794946116e-01
0.000000000000000000e+00,5.914675380246180447e-01
0.000000000000000000e+00,6.003675260814363979e-01
0.000000000000000000e+00,6.305413697427834085e-01
5.000000000000000000e+02,2.488829199650006152e-01
5.000000000000000000e+02,3.309853769823971059e-01
5.000000000000000000e+02,2.779870110555732188e-01
5.000000000000000000e+02,2.856830084285253979e-01
5.000000000000000000e+02,3.373332405088535491e-01
5.000000000000000000e+02,3.213041997318156762e-01
5.000000000000000000e+02,2.870874595518177474e-01
5.000000000000000000e+02,3.096899860328102827e-01
5.000000000000000000e+02,2.749712483333250357e-01
5.000000000000000000e+02,2.309185063898326895e-01
5.000000000000000000e+02,2.652821132672764648e-01
5.000000000000000000e+02,2.837924816036946352e-01
5.000000000000000000e+02,3.466182476761588971e-01
5.000000000000000000e+02,3.017013622053358324e-01
5.000000000000000000e+02,2.658443321196071185e-01
5.000000000000000000e+02,2.090797082024494769e-01
5.000000000000000000e+02,2.765643304503965783e-01
5.000000000000000000e+02,3.103374838777895883e-01
1.000000000000000000e+03,2.257267055822936852e-01
1.000000000000000000e+03,3.170933706553387688e-01
1.000000000000000000e+03,2.652928782093432747e-01
1.000000000000000000e+03,2.658417647713763876e-01
1.000000000000000000e+03,3.128188272208948240e-01
1.000000000000000000e+03,3.068729021321537909e-01
1.000000000000000000e+03,2.668863124512054763e-01
1.000000000000000000e+03,2.812978272829846915e-01
1.000000000000000000e+03,2.456611394731834652e-01
1.000000000000000000e+03,2.112823078637325880e-01
1.000000000000000000e+03,2.484146859988479172e-01
1.000000000000000000e+03,2.702929036252333939e-01
1.000000000000000000e+03,3.367116549597320430e-01
1.000000000000000000e+03,2.784427406232669044e-01
1.000000000000000000e+03,2.448964068369050839e-01
1.000000000000000000e+03,1.926521088591018616e-01
1.000000000000000000e+03,2.675597093990197406e-01
1.000000000000000000e+03,2.938068854724182333e-01
1.500000000000000000e+03,2.176359520856892549e-01
1.500000000000000000e+03,3.129542994002108558e-01
1.500000000000000000e+03,2.602759866186794557e-01
1.500000000000000000e+03,2.614414052463248650e-01
1.500000000000000000e+03,3.052356481991934101e-01
1.500000000000000000e+03,3.037133434611645200e-01
1.500000000000000000e+03,2.596656106362365546e-01
1.500000000000000000e+03,2.745581931166989342e-01
1.500000000000000000e+03,2.365886071413618175e-01
1.500000000000000000e+03,2.034217499215177916e-01
1.500000000000000000e+03,2.414484001330093887e-01
1.500000000000000000e+03,2.659561436768754783e-01
1.500000000000000000e+03,3.324054763538653035e-01
1.500000000000000000e+03,2.723135414355581929e-01
1.500000000000000000e+03,2.397366239411373723e-01
1.500000000000000000e+03,1.880144773628546484e-01
1.500000000000000000e+03,2.648770720626962838e-01
1.500000000000000000e+03,2.876254279574715356e-01
2.000000000000000000e+03,2.129432467821766317e-01
2.000000000000000000e+03,3.107612028114506986e-01
2.000000000000000000e+03,2.568185015330081145e-01
2.000000000000000000e+03,2.589110309353620520e-01
2.000000000000000000e+03,3.009377406979071301e-01
2.000000000000000000e+03,3.015278930613976560e-01
2.000000000000000000e+03,2.554740770748497591e-01
2.000000000000000000e+03,2.707259220894429608e-01
2.000000000000000000e+03,2.309468114657837745e-01
2.000000000000000000e+03,1.985028749448438379e-01
2.000000000000000000e+03,2.365964573113921443e-01
2.000000000000000000e+03,2.629739631550313539e-01
2.000000000000000000e+03,3.289831193720303415e-01
2.000000000000000000e+03,2.692098616038050007e-01
2.000000000000000000e+03,2.369866770449032822e-01
2.000000000000000000e+03,1.857467065853551647e-01
2.000000000000000000e+03,2.628831707435309029e-01
2.000000000000000000e+03,2.834673613148622207e-01
2.500000000000000000e+03,2.094516851433912141e-01
2.500000000000000000e+03,3.091953183258429050e-01
2.500000000000000000e+03,2.539243511092842964e-01
2.500000000000000000e+03,2.570384368214123083e-01
2.500000000000000000e+03,2.978309234067455513e-01
2.500000000000000000e+03,2.993793813542967031e-01
2.500000000000000000e+03,2.522340514357954144e-01
2.500000000000000000e+03,2.682302252106110729e-01
2.500000000000000000e+03,2.269090799644604139e-01
2.500000000000000000e+03,1.943912339506062292e-01
2.500000000000000000e+03,2.324460872818686907e-01
2.500000000000000000e+03,2.603633773998628720e-01
2.500000000000000000e+03,3.265249591867526724e-01
2.500000000000000000e+03,2.670968804578024436e-01
2.500000000000000000e+03,2.351689775297874097e-01
2.500000000000000000e+03,1.839929803262925767e-01
2.500000000000000000e+03,2.616900589194056104e-01
2.500000000000000000e+03,2.804765216236175251e-01
3.000000000000000000e+03,2.069335046567343239e-01
3.000000000000000000e+03,3.083666657630903529e-01
3.000000000000000000e+03,2.513408286577014095e-01
3.000000000000000000e+03,2.554454713226844698e-01
3.000000000000000000e+03,2.953890781064780757e-01
3.000000000000000000e+03,2.976282435239134827e-01
3.000000000000000000e+03,2.496330798459304723e-01
3.000000000000000000e+03,2.664093492430106291e-01
3.000000000000000000e+03,2.238530201839354639e-01
3.000000000000000000e+03,1.913271647391863173e-01
3.000000000000000000e+03,2.291085652139906725e-01
3.000000000000000000e+03,2.586739643927122301e-01
3.000000000000000000e+03,3.245450761908092452e-01
3.000000000000000000e+03,2.653558062487939573e-01
3.000000000000000000e+03,2.335652519916963377e-01
3.000000000000000000e+03,1.823916754901173665e-01
3.000000000000000000e+03,2.608138861776316264e-01
3.000000000000000000e+03,2.779439373411949354e-01
3.500000000000000000e+03,2.049985511364965651e-01
3.500000000000000000e+03,3.080391413166191361e-01
3.500000000000000000e+03,2.489973611078954707e-01
3.500000000000000000e+03,2.538538429402590335e-01
3.500000000000000000e+03,2.933470145744150326e-01
3.500000000000000000e+03,2.961049859629713010e-01
3.500000000000000000e+03,2.474052753914257052e-01
3.500000000000000000e+03,2.650677768073712026e-01
3.500000000000000000e+03,2.213908810453788234e-01
3.500000000000000000e+03,1.889538879815072514e-01
3.500000000000000000e+03,2.264651358819855798e-01
3.500000000000000000e+03,2.569116961986180891e-01
3.500000000000000000e+03,3.229301274832159785e-01
3.500000000000000000e+03,2.638861653050567635e-01
3.500000000000000000e+03,2.319548595576592931e-01
3.500000000000000000e+03,1.810833458921450312e-01
3.500000000000000000e+03,2.603603612855076022e-01
3.500000000000000000e+03,2.757336739943521131e-01
4.000000000000000000e+03,2.033560600673545715e-01
4.000000000000000000e+03,3.076264159290051370e-01
4.000000000000000000e+03,2.470690820065421234e-01
4.000000000000000000e+03,2.523275376660203406e-01
4.000000000000000000e+03,2.914723745490037654e-01
4.000000000000000000e+03,2.947826296314486338e-01
4.000000000000000000e+03,2.457215560845237845e-01
4.000000000000000000e+03,2.637325709430193288e-01
4.000000000000000000e+03,2.192045314962163260e-01
4.000000000000000000e+03,1.870710025262618814e-01
4.000000000000000000e+03,2.242630627145970612e-01
4.000000000000000000e+03,2.554077934031181440e-01
4.000000000000000000e+03,3.215685853310799036e-01
4.000000000000000000e+03,2.625191663962546107e-01
4.000000000000000000e+03,2.304737688213215063e-01
4.000000000000000000e+03,1.799435011554867403e-01
4.000000000000000000e+03,2.602010754292050088e-01
4.000000000000000000e+03,2.737926053221195200e-01
4.500000000000000000e+03,2.021839082422737521e-01
4.500000000000000000e+03,3.071583999744599280e-01
4.500000000000000000e+03,2.455141848622626743e-01
4.500000000000000000e+03,2.509426509565815810e-01
4.500000000000000000e+03,2.898336792397316342e-01
4.500000000000000000e+03,2.936922033440716451e-01
4.500000000000000000e+03,2.442669357694303711e-01
4.500000000000000000e+03,2.625392390993959713e-01
4.500000000000000000e+03,2.173073694144614931e-01
4.500000000000000000e+03,1.855223428629687588e-01
4.500000000000000000e+03,2.224418662563153182e-01
4.500000000000000000e+03,2.541641479219374777e-01
4.500000000000000000e+03,3.205183406422119075e-01
4.500000000000000000e+03,2.614413119783799422e-01
4.500000000000000000e+03,2.293255924100197352e-01
4.500000000000000000e+03,1.790298420616276420e-01
4.500000000000000000e+03,2.600121943567435534e-01
4.500000000000000000e+03,2.723970431298279316e-01
5.000000000000000000e+03,2.012615625484300286e-01
5.000000000000000000e+03,3.068001403696383189e-01
5.000000000000000000e+03,2.442047397167037281e-01
5.000000000000000000e+03,2.497955186142257755e-01
5.000000000000000000e+03,2.885726044805518309e-01
5.000000000000000000e+03,2.927373194118634281e-01
5.000000000000000000e+03,2.429591948614710228e-01
5.000000000000000000e+03,2.615535434828465400e-01
5.000000000000000000e+03,2.157712804400973017e-01
5.000000000000000000e+03,1.843335927518099382e-01
5.000000000000000000e+03,2.208862725313934516e-01
5.000000000000000000e+03,2.530955855813316058e-01
5.000000000000000000e+03,3.196382396269756287e-01
5.000000000000000000e+03,2.606190830643594913e-01
5.000000000000000000e+03,2.284721192528225697e-01
5.000000000000000000e+03,1.783017205377436520e-01
5.000000000000000000e+03,2.598605798902998698e-01
5.000000000000000000e+03,2.712419251075051663e-01
5.500000000000000000e+03,2.004398755017491318e-01
5.500000000000000000e+03,3.066400259930578409e-01
5.500000000000000000e+03,2.430863943504145142e-01
5.500000000000000000e+03,2.487631071312822462e-01
5.500000000000000000e+03,2.875114728861637992e-01
5.500000000000000000e+03,2.917507054238730468e-01
5.500000000000000000e+03,2.417815462752938849e-01
5.500000000000000000e+03,2.607933746911828554e-01
5.500000000000000000e+03,2.144319868891390590e-01
5.500000000000000000e+03,1.833391845030620526e-01
5.500000000000000000e+03,2.194784808956251054e-01
5.500000000000000000e+03,2.521322728257466839e-01
5.500000000000000000e+03,3.188071222165568264e-01
5.500000000000000000e+03,2.599077067887639036e-01
5.500000000000000000e+03,2.277988257961921781e-01
5.500000000000000000e+03,1.776310753833804656e-01
5.500000000000000000e+03,2.597327774595549199e-01
5.500000000000000000e+03,2.701855621392491580e-01
6.000000000000000000e+03,1.996240552453444894e-01
6.000000000000000000e+03,3.064249735237004613e-01
6.000000000000000000e+03,2.421093246079420724e-01
6.000000000000000000e+03,2.478334136321525549e-01
6.000000000000000000e+03,2.866835524601554774e-01
6.000000000000000000e+03,2.908453871955309911e-01
6.000000000000000000e+03,2.407400074358972963e-01
6.000000000000000000e+03,2.602045374903280694e-01
6.000000000000000000e+03,2.131918909654670347e-01
6.000000000000000000e+03,1.825444656153961676e-01
6.000000000000000000e+03,2.181680697385680601e-01
6.000000000000000000e+03,2.514133841186984575e-01
6.000000000000000000e+03,3.181977460273259783e-01
6.000000000000000000e+03,2.592162653621817303e-01
6.000000000000000000e+03,2.273843214938943702e-01
6.000000000000000000e+03,1.770301743202037648e-01
6.000000000000000000e+03,2.596075960151400519e-01
6.000000000000000000e+03,2.692760500108218324e-01
6.500000000000000000e+03,1.988500621818892478e-01
6.500000000000000000e+03,3.062361658738244619e-01
6.500000000000000000e+03,2.412405143878579850e-01
6.500000000000000000e+03,2.470349894477316399e-01
6.500000000000000000e+03,2.859759193378759723e-01
6.500000000000000000e+03,2.900266910334788339e-01
6.500000000000000000e+03,2.397938663471115284e-01
6.500000000000000000e+03,2.596855140464597866e-01
6.500000000000000000e+03,2.120544530956223750e-01
6.500000000000000000e+03,1.818658904755204864e-01
6.500000000000000000e+03,2.169289649381783702e-01
6.500000000000000000e+03,2.506869959008292126e-01
6.500000000000000000e+03,3.175782628519948081e-01
6.500000000000000000e+03,2.586091417563667894e-01
6.500000000000000000e+03,2.270693725918498940e-01
6.500000000000000000e+03,1.765103206699775162e-01
6.500000000000000000e+03,2.595193087946296995e-01
6.500000000000000000e+03,2.684931801479564784e-01
7.000000000000000000e+03,1.981824995004604351e-01
7.000000000000000000e+03,3.060191934370680156e-01
7.000000000000000000e+03,2.404183601036709583e-01
7.000000000000000000e+03,2.463148091068372569e-01
7.000000000000000000e+03,2.853264337460259537e-01
7.000000000000000000e+03,2.893173899898061618e-01
7.000000000000000000e+03,2.389725774913767919e-01
7.000000000000000000e+03,2.591975179742198043e-01
7.000000000000000000e+03,2.109864513720464685e-01
7.000000000000000000e+03,1.812322519101932095e-01
7.000000000000000000e+03,2.158536107746975574e-01
7.000000000000000000e+03,2.500307366731175374e-01
7.000000000000000000e+03,3.169548938103884383e-01
7.000000000000000000e+03,2.580500303937436346e-01
7.000000000000000000e+03,2.267669215574131536e-01
7.000000000000000000e+03,1.760854948790721575e-01
7.000000000000000000e+03,2.594236563846464283e-01
7.000000000000000000e+03,2.679220250753628907e-01
7.500000000000000000e+03,1.975867635250201926e-01
7.500000000000000000e+03,3.057883883876571507e-01
7.500000000000000000e+03,2.396711066728257344e-01
7.500000000000000000e+03,2.456501500641620761e-01
7.500000000000000000e+03,2.847199561892871378e-01
7.500000000000000000e+03,2.886627902224175868e-01
7.500000000000000000e+03,2.382313764923789656e-01
7.500000000000000000e+03,2.587814383826679832e-01
7.500000000000000000e+03,2.100106207237298905e-01
7.500000000000000000e+03,1.806450668440358620e-01
7.500000000000000000e+03,2.148752558470855556e-01
7.500000000000000000e+03,2.494655264217114365e-01
7.500000000000000000e+03,3.164129662861311365e-01
7.500000000000000000e+03,2.575072907636418718e-01
7.500000000000000000e+03,2.264672352084598494e-01
7.500000000000000000e+03,1.757034841208708065e-01
7.500000000000000000e+03,2.593027017033373016e-01
7.500000000000000000e+03,2.674207609185592638e-01
8.000000000000000000e+03,1.969289802483414897e-01
8.000000000000000000e+03,3.056052632584725925e-01
8.000000000000000000e+03,2.389883731417414003e-01
8.000000000000000000e+03,2.450286252427339995e-01
8.000000000000000000e+03,2.841232912647027598e-01
8.000000000000000000e+03,2.879905973742343250e-01
8.000000000000000000e+03,2.374839701587063978e-01
8.000000000000000000e+03,2.583960420796910795e-01
8.000000000000000000e+03,2.090932550588196770e-01
8.000000000000000000e+03,1.801003135470237992e-01
8.000000000000000000e+03,2.139416946114796325e-01
8.000000000000000000e+03,2.488360425417046051e-01
8.000000000000000000e+03,3.158921791141271473e-01
8.000000000000000000e+03,2.568846944539602828e-01
8.000000000000000000e+03,2.261925247491418101e-01
8.000000000000000000e+03,1.753821032302548544e-01
8.000000000000000000e+03,2.591691786413374832e-01
8.000000000000000000e+03,2.669237546519664939e-01
8.500000000000000000e+03,1.963114255730967761e-01
8.500000000000000000e+03,3.054405553031144804e-01
8.500000000000000000e+03,2.383088761998415905e-01
8.500000000000000000e+03,2.444342854162111500e-01
8.500000000000000000e+03,2.835513872687873138e-01
8.500000000000000000e+03,2.873319180328587352e-01
8.500000000000000000e+03,2.367885679122045117e-01
8.500000000000000000e+03,2.579835513889026655e-01
8.500000000000000000e+03,2.082601894678044185e-01
8.500000000000000000e+03,1.796215637781991836e-01
8.500000000000000000e+03,2.130544021984958625e-01
8.500000000000000000e+03,2.482220597984079180e-01
8.500000000000000000e+03,3.153793214881763785e-01
8.500000000000000000e+03,2.563296300312873921e-01
8.500000000000000000e+03,2.258791349519176372e-01
8.500000000000000000e+03,1.750336641037712748e-01
8.500000000000000000e+03,2.590739010792112440e-01
8.500000000000000000e+03,2.664383879509019115e-01
9.000000000000000000e+03,1.957654258354302734e-01
9.000000000000000000e+03,3.052646238988422911e-01
9.000000000000000000e+03,2.376379899448342603e-01
9.000000000000000000e+03,2.438611103028789362e-01
9.000000000000000000e+03,2.830361768655025312e-01
9.000000000000000000e+03,2.866605781488892890e-01
9.000000000000000000e+03,2.361590070602370695e-01
9.000000000000000000e+03,2.575694547988986449e-01
9.000000000000000000e+03,2.074873135910684785e-01
9.000000000000000000e+03,1.791400063842081836e-01
9.000000000000000000e+03,2.121889390799266140e-01
9.000000000000000000e+03,2.476194211258353484e-01
9.000000000000000000e+03,3.149286252721529844e-01
9.000000000000000000e+03,2.558474151718631573e-01
9.000000000000000000e+03,2.256185045927653343e-01
9.000000000000000000e+03,1.746515692920625751e-01
9.000000000000000000e+03,2.589884384706960252e-01
9.000000000000000000e+03,2.660558450377998874e-01
9.500000000000000000e+03,1.952245210375982698e-01
9.500000000000000000e+03,3.050723179336404800e-01
9.500000000000000000e+03,2.370199861698430721e-01
9.500000000000000000e+03,2.433239083731890406e-01
9.500000000000000000e+03,2.825087713428107716e-01
9.500000000000000000e+03,2.860561583189011881e-01
9.500000000000000000e+03,2.355997127688357617e-01
9.500000000000000000e+03,2.571924055635902984e-01
9.500000000000000000e+03,2.067689553181669138e-01
9.500000000000000000e+03,1.786812854405080697e-01
9.500000000000000000e+03,2.114036551317289292e-01
9.500000000000000000e+03,2.470652250592801358e-01
9.500000000000000000e+03,3.145564626712150647e-01
9.500000000000000000e+03,2.554014614126992599e-01
9.500000000000000000e+03,2.254229157449130494e-01
9.500000000000000000e+03,1.742787811626968775e-01
9.500000000000000000e+03,2.589114614871239062e-01
9.500000000000000000e+03,2.656815907058534543e-01
1.000000000000000000e+04,1.947387102771911405e-01
1.000000000000000000e+04,3.048800836811269566e-01
1.000000000000000000e+04,2.364070695466643224e-01
1.000000000000000000e+04,2.428360798507153973e-01
1.000000000000000000e+04,2.820368552440074561e-01
1.000000000000000000e+04,2.854982677919566392e-01
1.000000000000000000e+04,2.351036281240057868e-01
1.000000000000000000e+04,2.568278934703558947e-01
1.000000000000000000e+04,2.061016892545215196e-01
1.000000000000000000e+04,1.782389470765538553e-01
1.000000000000000000e+04,2.106525058303663767e-01
1.000000000000000000e+04,2.465769217868194751e-01
1.000000000000000000e+04,3.142232149540131747e-01
1.000000000000000000e+04,2.550281490317303223e-01
1.000000000000000000e+04,2.252255669149704209e-01
1.000000000000000000e+04,1.738848172038116313e-01
1.000000000000000000e+04,2.588113481826733731e-01
1.000000000000000000e+04,2.653784285109627161e-01
1.050000000000000000e+04,1.942959418049830522e-01
1.050000000000000000e+04,3.046333176859997161e-01
1.050000000000000000e+04,2.358240101074665918e-01
1.050000000000000000e+04,2.423739152982728740e-01
1.050000000000000000e+04,2.815997883579047789e-01
1.050000000000000000e+04,2.849593610679779232e-01
1.050000000000000000e+04,2.346508155489363812e-01
1.050000000000000000e+04,2.564669712109091115e-01
1.050000000000000000e+04,2.054677995269136026e-01
1.050000000000000000e+04,1.778865903032672002e-01
1.050000000000000000e+04,2.099856259420169180e-01
1.050000000000000000e+04,2.462069154357586220e-01
1.050000000000000000e+04,3.138815697375878511e-01
1.050000000000000000e+04,2.546326429871751396e-01
1.050000000000000000e+04,2.250359975327971274e-01
1.050000000000000000e+04,1.734964661941098829e-01
1.050000000000000000e+04,2.586682161853519624e-01
1.050000000000000000e+04,2.651313573965116133e-01
1.100000000000000000e+04,1.938128268523139908e-01
1.100000000000000000e+04,3.043605165857695694e-01
1.100000000000000000e+04,2.352998576927888830e-01
1.100000000000000000e+04,2.419911250170070915e-01
1.100000000000000000e+04,2.811227615414093051e-01
1.100000000000000000e+04,2.844542234193513375e-01
1.100000000000000000e+04,2.341852340540827027e-01
1.100000000000000000e+04,2.561632263787778085e-01
1.100000000000000000e+04,2.048263914134412778e-01
1.100000000000000000e+04,1.775901658856256504e-01
1.100000000000000000e+04,2.093705169218021689e-01
1.100000000000000000e+04,2.458676578858728923e-01
1.100000000000000000e+04,3.135306108264603875e-01
1.100000000000000000e+04,2.541657261839206372e-01
1.100000000000000000e+04,2.248567316655117609e-01
1.100000000000000000e+04,1.731415062857666332e-01
1.100000000000000000e+04,2.585195336135173716e-01
1.100000000000000000e+04,2.648322653192839438e-01
1.150000000000000000e+04,1.933093098916794372e-01
1.150000000000000000e+04,3.041229670648101235e-01
1.150000000000000000e+04,2.348229964615606291e-01
1.150000000000000000e+04,2.416326856650490018e-01
1.150000000000000000e+04,2.806846726688363436e-01
1.150000000000000000e+04,2.839796373623370562e-01
1.150000000000000000e+04,2.336671810843336805e-01
1.150000000000000000e+04,2.558799194434938640e-01
1.150000000000000000e+04,2.042200164784055971e-01
1.150000000000000000e+04,1.772807621638633480e-01
1.150000000000000000e+04,2.087839284672437512e-01
1.150000000000000000e+04,2.455223533651578749e-01
1.150000000000000000e+04,3.131847923305583481e-01
1.150000000000000000e+04,2.537241305796996693e-01
1.150000000000000000e+04,2.246939914339341482e-01
1.150000000000000000e+04,1.728067221932569897e-01
1.150000000000000000e+04,2.583786380674726879e-01
1.150000000000000000e+04,2.645310985729097952e-01
1.200000000000000000e+04,1.928046183215750276e-01
1.200000000000000000e+04,3.039296052699198003e-01
1.200000000000000000e+04,2.343670681795007593e-01
1.200000000000000000e+04,2.412914103936423249e-01
1.200000000000000000e+04,2.802545426810854612e-01
1.200000000000000000e+04,2.835667516807126587e-01
1.200000000000000000e+04,2.331606554780860652e-01
1.200000000000000000e+04,2.556117268004071130e-01
1.200000000000000000e+04,2.036520294568665568e-01
1.200000000000000000e+04,1.769576954919098166e-01
1.200000000000000000e+04,2.082278375588893504e-01
1.200000000000000000e+04,2.451841882624833102e-01
1.200000000000000000e+04,3.128426029424050125e-01
1.200000000000000000e+04,2.533298100994792468e-01
1.200000000000000000e+04,2.245445408267649212e-01
1.200000000000000000e+04,1.724851275484126367e-01
1.200000000000000000e+04,2.582585105045398510e-01
1.200000000000000000e+04,2.642637153954209284e-01
1.250000000000000000e+04,1.923132219770919693e-01
1.250000000000000000e+04,3.037319517530879809e-01
1.250000000000000000e+04,2.339199377826151893e-01
1.250000000000000000e+04,2.409693192248266169e-01
1.250000000000000000e+04,2.797678397766171776e-01
1.250000000000000000e+04,2.832179900871232836e-01
1.250000000000000000e+04,2.326778423019918718e-01
1.250000000000000000e+04,2.553451465455213731e-01
1.250000000000000000e+04,2.031186163230550012e-01
1.250000000000000000e+04,1.766519221022953556e-01
1.250000000000000000e+04,2.077010946309089112e-01
1.250000000000000000e+04,2.448940591840675640e-01
1.250000000000000000e+04,3.125058094699130762e-01
1.250000000000000000e+04,2.529297293018314963e-01
1.250000000000000000e+04,2.244276358384830472e-01
1.250000000000000000e+04,1.721643201037036108e-01
1.250000000000000000e+04,2.581482028264433515e-01
1.250000000000000000e+04,2.639706890485171153e-01
1.300000000000000000e+04,1.918625620224341799e-01
1.300000000000000000e+04,3.035718116495998986e-01
1.300000000000000000e+04,2.334678371395738639e-01
1.300000000000000000e+04,2.406469648268168560e-01
1.300000000000000000e+04,2.793138304432431496e-01
1.300000000000000000e+04,2.828414274679393325e-01
1.300000000000000000e+04,2.322277667005196167e-01
1.300000000000000000e+04,2.550631286376782714e-01
1.300000000000000000e+04,2.026099526941984863e-01
1.300000000000000000e+04,1.763306870739590748e-01
1.300000000000000000e+04,2.071973324338016176e-01
1.300000000000000000e+04,2.445727770446519678e-01
1.300000000000000000e+04,3.121777329637179244e-01
1.300000000000000000e+04,2.526038234417317674e-01
1.300000000000000000e+04,2.243385141246505565e-01
1.300000000000000000e+04,1.718658251917120627e-01
1.300000000000000000e+04,2.580462794740793764e-01
1.300000000000000000e+04,2.637030834645511801e-01
1.350000000000000000e+04,1.914510645634627251e-01
1.350000000000000000e+04,3.034251647839125710e-01
1.350000000000000000e+04,2.330244999913783366e-01
1.350000000000000000e+04,2.403350706985614704e-01
1.350000000000000000e+04,2.789377842876654134e-01
1.350000000000000000e+04,2.824913275814390223e-01
1.350000000000000000e+04,2.317743334986080428e-01
1.350000000000000000e+04,2.547698793588436539e-01
1.350000000000000000e+04,2.021558361693388817e-01
1.350000000000000000e+04,1.760135970827881868e-01
1.350000000000000000e+04,2.067304590718609669e-01
1.350000000000000000e+04,2.442609548262707486e-01
1.350000000000000000e+04,3.118487367898084006e-01
1.350000000000000000e+04,2.522781376995624769e-01
1.350000000000000000e+04,2.242701948976046911e-01
1.350000000000000000e+04,1.715973690276217656e-01
1.350000000000000000e+04,2.579320687722913563e-01
1.350000000000000000e+04,2.634840204238512174e-01
1.400000000000000000e+04,1.910625628922489050e-01
1.400000000000000000e+04,3.032959226266905839e-01
1.400000000000000000e+04,2.326039919567191583e-01
1.400000000000000000e+04,2.400372816119149821e-01
1.400000000000000000e+04,2.785885771633977437e-01
1.400000000000000000e+04,2.821584499773035493e-01
1.400000000000000000e+04,2.313437154338403301e-01
1.400000000000000000e+04,2.544765761529894088e-01
1.400000000000000000e+04,2.017326245071967561e-01
1.400000000000000000e+04,1.756964271032914193e-01
1.400000000000000000e+04,2.062814046369977061e-01
1.400000000000000000e+04,2.439539273447250134e-01
1.400000000000000000e+04,3.115316842501006933e-01
1.400000000000000000e+04,2.519807593419634562e-01
1.400000000000000000e+04,2.241994598477345113e-01
1.400000000000000000e+04,1.713459038957829972e-01
1.400000000000000000e+04,2.578163980842169134e-01
1.400000000000000000e+04,2.633130916842306712e-01
1.450000000000000000e+04,1.906829720161740960e-01
1.450000000000000000e+04,3.031719784470626733e-01
1.450000000000000000e+04,2.321926944602494547e-01
1.450000000000000000e+04,2.397430671303859284e-01
1.450000000000000000e+04,2.782434204835672609e-01
1.450000000000000000e+04,2.818291313305961165e-01
1.450000000000000000e+04,2.309323187351743079e-01
1.450000000000000000e+04,2.541988315419687061e-01
1.450000000000000000e+04,2.013389969173884075e-01
1.450000000000000000e+04,1.754100347401850446e-01
1.450000000000000000e+04,2.058559602589374316e-01
1.450000000000000000e+04,2.436887367759969225e-01
1.450000000000000000e+04,3.112261020455014404e-01
1.450000000000000000e+04,2.516812217334606916e-01
1.450000000000000000e+04,2.241263220367329390e-01
1.450000000000000000e+04,1.710928284751430661e-01
1.450000000000000000e+04,2.577132647598222026e-01
1.450000000000000000e+04,2.630967526636178166e-01
